cog_id	ncbi_root
NOG259214	14
NOG10751	17
NOG03678	17
NOG15513	17
NOG241704	17
NOG14945	18
NOG232470	18
NOG25110	20
KOG4375	21
KOG3684	21
KOG3645	21
KOG3609	21
KOG3644	21
KOG3646	21
KOG4220	21
KOG4440	21
NOG02068	22
KOG3971	22
KOG3827	22
KOG4295	22
KOG4119	22
KOG0093	22
KOG4343	22
KOG4637	22
KOG4728	22
KOG3584	22
KOG2060	22
KOG4360	22
KOG1011	22
KOG3573	22
KOG3865	22
KOG1056	22
KOG0986	22
KOG0665	22
KOG1055	22
KOG4571	22
COG2066	22
KOG3656	22
KOG1028	22
KOG0709	22
KOG0696	22
COG3186	22
KOG3533	22
KOG4031	23
KOG1325	23
KOG3717	23
KOG3629	23
COG1394	24
KOG3065	24
KOG2301	24
COG0814	24
COG5074	24
COG1231	24
COG2124	24
KOG0616	24
COG5038	24
COG0076	24
COG1226	24
KOG1414	24
KOG0581	24
COG1100	24
COG1527	24
COG5231	24
KOG1586	24
COG5059	24
COG1390	24
KOG0169	24
KOG0286	24
COG1301	24
COG5030	24
COG5170	24
COG0194	24
COG2272	24
COG2453	24
COG0515	24
KOG0082	24
COG2126	24
COG0160	24
COG4354	24
COG5126	24
KOG0985	24
COG0174	24
COG0639	24
KOG0660	24
COG5127	24
COG1269	24
COG5096	24
COG1436	24
COG0666	24
KOG2408	24
COG0699	24
COG0531	24
KOG0938	24
KOG2085	24
COG0733	24
COG1156	24
KOG0211	24
KOG2532	24
NOG01633	24
COG0464	24
COG0636	24
COG5032	24
COG1155	24
COG4122	24
COG0591	24
KOG1654	24
KOG0032	24
KOG1052	24
KOG3764	24
COG0303	24
COG5158	24
KOG1772	24
KOG3500	24
COG2114	24
KOG2562	24
COG5143	24
COG1502	24
KOG0033	24
KOG3561	24
